Feature,Ranking,Classifier,fold0,fold1,fold2,fold3,fold4,fold5,fold6,fold7,fold8,fold9,median
is_refactoring_source,8,AdaBoost,0.0,0.026073280089668617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026073280089668617
pctg_cross_project_changes_owner_target,9,ET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
pctg_cross_project_changes_owner_target,9,RF,0.0,2.7500000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7500000000000004
pctg_cross_project_changes_owner_target,9,XGBoost,0.0,1.3491302728652954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3491302728652954
pctg_cross_project_changes_owner_target,9,AdaBoost,0.0,0.026073280089668617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026073280089668617
subject_length_target,9,ET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
subject_length_target,9,RF,0.05263157894736847,-0.0833333333333333,-0.04761904761904766,-0.03636363636363639,-0.021276595744680753,-0.018867924528301903,-0.09615384615384624,0.0,-0.016393442622950834,-0.11864406779661009,-0.03636363636363639
subject_length_target,9,XGBoost,-0.0904150903224945,0.11321160197257996,0.003137782448902726,-0.22297343611717224,-0.008770592510700226,-0.15405958890914917,-0.06502018868923187,0.0,-0.0800509974360466,-0.031226638704538345,-0.06502018868923187
subject_length_target,9,AdaBoost,0.0,0.0,-0.0028837374400109356,-0.002471758491813652,-0.0026926281527710526,0.0,0.0,-0.00251383917293911,-0.003193248317233454,-0.0028628361519884246,-0.002777732152379739
num_file_types_source,10,ET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
num_file_types_source,10,RF,-0.026315789473684233,2.7500000000000004,-0.03174603174603177,0.018181818181818195,0.04255319148936174,0.018867924528301903,-0.019230769230769246,0.0,0.016393442622950834,-0.0169491525423729,0.016393442622950834
num_file_types_source,10,XGBoost,-0.44380295276641846,1.3491302728652954,-0.0967320054769516,0.002961492631584406,-0.06788953393697739,-0.1345817744731903,0.0,0.0,0.0,-0.04906182736158371,-0.06788953393697739
num_file_types_source,10,AdaBoost,0.0,0.026073280089668617,-0.0031667456207146545,-0.003193442034334535,-0.0036325665190072975,-0.003402784354639039,0.0,0.0,0.0,0.0,-0.003193442034334535
project_age_source,10,ET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
project_age_source,10,RF,-0.026315789473684233,2.7500000000000004,-0.03174603174603177,-0.03636363636363639,-0.06382978723404249,-0.07547169811320761,0.0,0.01960784313725492,-0.03278688524590167,-0.08474576271186429,-0.03278688524590167
project_age_source,10,XGBoost,0.0,1.3491302728652954,-0.2776590883731842,-0.14512838423252106,-0.3536520302295685,-0.23703759908676147,-0.14464788138866425,-0.025279993191361427,0.0,-0.15771624445915222,-0.15142231434583664
project_age_source,10,AdaBoost,0.0,0.026073280089668617,0.0,-0.0032193517738655763,0.0,0.0,0.0,0.0,0.0,0.0,0.01142696415790152
has_feature_addition_source,10,ET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
has_feature_addition_source,10,RF,-0.05263157894736847,2.7500000000000004,-0.015873015873015886,-0.018181818181818195,-0.021276595744680753,-0.03773584905660381,-0.019230769230769246,0.01960784313725492,0.0,0.0,-0.01870629370629372
has_feature_addition_source,10,XGBoost,-0.3683488070964813,1.3491302728652954,-0.04593366011977196,-0.13054345548152924,-0.17300783097743988,-0.23874932527542114,-0.24929474294185638,-0.03540341928601265,-0.0414448119699955,-0.006488185841590166,-0.0882385578006506
has_feature_addition_source,10,AdaBoost,0.0,0.026073280089668617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026073280089668617
subject_length_source,10,ET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
subject_length_source,10,RF,0.0,-0.04166666666666659,0.015873015873015886,0.018181818181818195,-0.021276595744680753,-0.018867924528301903,-0.019230769230769246,0.0,0.04918032786885251,0.0,-0.018867924528301903
subject_length_source,10,XGBoost,-0.14401228725910187,0.0813303217291832,0.0,0.0408564992249012,0.012994254007935524,0.0025009040255099535,-0.012181040830910206,0.01601017825305462,-0.017060477286577225,-0.030712779611349106,0.0025009040255099535
subject_length_source,10,AdaBoost,0.0,0.0,0.0,0.0,0.0,0.0032825290137793585,0.0,0.0,0.0,0.0,0.0032825290137793585
desc_sim,10,ET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
desc_sim,10,RF,0.13157894736842102,2.7500000000000004,0.06349206349206354,0.0,-0.021276595744680753,0.03773584905660381,0.0,0.0,0.0,-0.0508474576271185,0.050613956274333675
desc_sim,10,XGBoost,1.1604329347610474,1.3491302728652954,0.1520560085773468,-0.06397094577550888,0.014776750467717648,-0.009444712661206722,-0.012407624162733555,-0.04683230072259903,0.04585440456867218,0.005046345759183168,0.009911548113450408
desc_sim,10,AdaBoost,0.0,0.026073280089668617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026073280089668617
is_preventive_source,10,ET,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
is_preventive_source,10,RF,-0.05263157894736847,2.7500000000000004,-0.03174603174603177,-0.018181818181818195,-0.08510638297872336,-0.018867924528301903,-0.019230769230769246,-0.01960784313725492,-0.016393442622950834,0.0169491525423729,-0.019049346879535575
